Namespace(network_model='e', workers=4, epochs=100, start_epoch=0, start_epoch_bias=0, criterion='l2', batch_size=6, lr=0.001, weight_decay=1e-06, print_freq=10, resume='', round=1, data_folder='/home/ubuntu-user/Desktop/KITTI/kitti_depth/depth', data_folder_rgb='/home/ubuntu-user/Desktop/KITTI/kitti_raw', data_folder_save='/home/ubuntu-user/Desktop/KITTI/kitti_depth/submit_test/', input='rgbd', val='select', jitter=0.1, rank_metric='rmse', evaluate='', freeze_backbone=False, test=False, cpu=False, not_random_crop=False, random_crop_height=320, random_crop_width=1216, convolutional_layer_encoding='xyz', dilation_rate=2, result='../results', use_rgb=True, use_d=True, use_g=True, val_h=352, val_w=1216)
=> using 'cuda' for computation.
=> logger created.
	==> val_loader size:1000
Global epoch: 0
this round choose user: [19, 37, 18, 10, 16, 3, 48, 35, 22, 12]
This is 19 user-------------
=> creating model and optimizer ... subnetwork_0
completed.
global_weights is empty!
=> creating data loaders ... 
success open part_ 19
	==> train_loader size:143
=> starting main loop ...
=> starting training user 19 epoch 1 ..
loss: tensor(170.6069, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   0 / 143
loss: tensor(154.8170, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   1 / 143
loss: tensor(154.7678, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   2 / 143
loss: tensor(154.3768, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   3 / 143
loss: tensor(125.3777, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   4 / 143
loss: tensor(152.3448, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   5 / 143
loss: tensor(122.8946, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   6 / 143
loss: tensor(137.3911, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   7 / 143
loss: tensor(140.1998, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   8 / 143
loss: tensor(135.3292, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   9 / 143
loss: tensor(127.2197, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   10 / 143
loss: tensor(122.5815, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   11 / 143
loss: tensor(139.8673, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   12 / 143
loss: tensor(157.3864, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   13 / 143
loss: tensor(147.0949, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   14 / 143
loss: tensor(151.5542, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   15 / 143
loss: tensor(140.2009, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   16 / 143
loss: tensor(131.9018, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   17 / 143
loss: tensor(147.8472, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   18 / 143
loss: tensor(134.5668, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   19 / 143
loss: tensor(130.6837, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   20 / 143
loss: tensor(166.9631, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   21 / 143
loss: tensor(145.5020, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   22 / 143
loss: tensor(143.9714, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   23 / 143
loss: tensor(149.5614, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   24 / 143
loss: tensor(126.2796, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   25 / 143
loss: tensor(154.2318, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   26 / 143
loss: tensor(145.0534, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   27 / 143
loss: tensor(170.2198, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   28 / 143
loss: tensor(131.8329, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   29 / 143
loss: tensor(137.4383, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   30 / 143
loss: tensor(138.8450, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   31 / 143
loss: tensor(152.0190, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   32 / 143
loss: tensor(133.7351, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   33 / 143
loss: tensor(142.3076, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   34 / 143
loss: tensor(137.4681, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   35 / 143
loss: tensor(155.3404, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   36 / 143
loss: tensor(147.2562, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   37 / 143
loss: tensor(133.7931, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   38 / 143
loss: tensor(143.9427, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   39 / 143
loss: tensor(145.3998, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   40 / 143
loss: tensor(145.9732, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   41 / 143
loss: tensor(140.5554, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   42 / 143
loss: tensor(144.3638, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   43 / 143
loss: tensor(120.7972, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   44 / 143
loss: tensor(144.7663, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   45 / 143
loss: tensor(148.1958, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   46 / 143
loss: tensor(158.6125, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   47 / 143
loss: tensor(127.3916, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   48 / 143
loss: tensor(134.5218, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   49 / 143
loss: tensor(148.0120, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   50 / 143
loss: tensor(131.6699, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   51 / 143
loss: tensor(119.1474, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   52 / 143
loss: tensor(134.0508, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   53 / 143
loss: tensor(133.2849, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   54 / 143
loss: tensor(141.5082, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   55 / 143
loss: tensor(157.5652, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   56 / 143
loss: tensor(144.0788, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   57 / 143
loss: tensor(146.7229, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   58 / 143
loss: tensor(118.4917, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   59 / 143
loss: tensor(136.3140, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   60 / 143
loss: tensor(133.5187, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   61 / 143
loss: tensor(148.1129, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   62 / 143
loss: tensor(129.6862, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   63 / 143
loss: tensor(135.0934, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   64 / 143
loss: tensor(145.4023, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   65 / 143
loss: tensor(138.9226, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   66 / 143
loss: tensor(167.3264, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   67 / 143
loss: tensor(147.0715, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   68 / 143
loss: tensor(115.0429, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   69 / 143
loss: tensor(153.9810, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   70 / 143
loss: tensor(138.9234, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   71 / 143
loss: tensor(137.4410, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   72 / 143
loss: tensor(136.3646, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   73 / 143
loss: tensor(145.2090, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   74 / 143
loss: tensor(143.5188, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   75 / 143
loss: tensor(117.7331, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   76 / 143
loss: tensor(146.1590, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   77 / 143
loss: tensor(134.8373, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   78 / 143
loss: tensor(148.9837, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   79 / 143
loss: tensor(137.0722, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   80 / 143
loss: tensor(140.3101, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   81 / 143
loss: tensor(151.5988, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   82 / 143
loss: tensor(139.4746, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   83 / 143
loss: tensor(131.2845, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   84 / 143
loss: tensor(155.6659, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   85 / 143
loss: tensor(115.3992, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   86 / 143
loss: tensor(132.6775, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   87 / 143
loss: tensor(158.0587, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   88 / 143
loss: tensor(145.4299, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 0   89 / 143
