Namespace(network_model='e', workers=4, epochs=100, start_epoch=0, start_epoch_bias=0, criterion='l2', batch_size=6, lr=0.001, weight_decay=1e-06, print_freq=10, resume='/home/ubuntu-user/Desktop/hzy/results/input=rgbd.criterion=l2.lr=0.001.bs=6.round=1.time=2024-06-06@21-52/checkpoint-5.pth.tar', round=1, data_folder='/home/ubuntu-user/Desktop/KITTI/kitti_depth/depth', data_folder_rgb='/home/ubuntu-user/Desktop/KITTI/kitti_raw', data_folder_save='/home/ubuntu-user/Desktop/KITTI/kitti_depth/submit_test/', input='rgbd', val='select', jitter=0.1, rank_metric='rmse', evaluate='', freeze_backbone=False, test=False, cpu=False, not_random_crop=False, random_crop_height=320, random_crop_width=1216, convolutional_layer_encoding='xyz', dilation_rate=2, result='../results', use_rgb=True, use_d=True, use_g=True, val_h=352, val_w=1216)
=> using 'cuda' for computation.
=> loading checkpoint '/home/ubuntu-user/Desktop/hzy/results/input=rgbd.criterion=l2.lr=0.001.bs=6.round=1.time=2024-06-06@21-52/checkpoint-5.pth.tar' ... Completed. Resuming from epoch 5.
=> logger created.
	==> val_loader size:1000
Global epoch: 6
this round choose user: [3, 29, 32, 35, 28, 9, 19, 40, 16, 49]
This is 3 user-------------
WARNING! Start simulate modal missing!
depth lost:True rgb lost:False
=> creating model and optimizer ... subnetwork_4
completed.
Global weights loaded successfully!
=> creating data loaders ... 
Modal Missing!Dataset will be replaced by zero matrix in iterate()!!!!!!!!!!!!
success open part_ 3
	==> train_loader size:143
=> starting main loop ...
=> starting training user 3 epoch 1 ..
loss: tensor(129.2100, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   0 / 143
loss: tensor(144.3641, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   1 / 143
loss: tensor(157.1332, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   2 / 143
loss: tensor(126.2583, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   3 / 143
loss: tensor(158.5893, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   4 / 143
loss: tensor(126.0264, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   5 / 143
loss: tensor(128.6422, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   6 / 143
loss: tensor(135.3799, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   7 / 143
loss: tensor(140.5095, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   8 / 143
loss: tensor(138.3328, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   9 / 143
loss: tensor(141.5111, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   10 / 143
loss: tensor(143.0020, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   11 / 143
loss: tensor(137.1198, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   12 / 143
loss: tensor(149.9400, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   13 / 143
loss: tensor(144.7949, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   14 / 143
loss: tensor(156.1606, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   15 / 143
loss: tensor(148.1271, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   16 / 143
loss: tensor(141.4441, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 6   17 / 143
