Namespace(network_model='e', workers=4, epochs=100, start_epoch=0, start_epoch_bias=0, criterion='l2', batch_size=6, lr=0.001, weight_decay=1e-06, print_freq=10, resume='/home/ubuntu-user/Desktop/hzy/results/input=rgbd.criterion=l2.lr=0.001.bs=6.round=1.time=2024-06-19@21-23/checkpoint-9.pth.tar', round=1, data_folder='/home/ubuntu-user/Desktop/KITTI/kitti_depth/depth', data_folder_rgb='/home/ubuntu-user/Desktop/KITTI/kitti_raw', data_folder_save='/home/ubuntu-user/Desktop/KITTI/kitti_depth/submit_test/', input='rgbd', val='select', jitter=0.1, rank_metric='rmse', evaluate='', freeze_backbone=False, test=False, cpu=False, not_random_crop=False, random_crop_height=320, random_crop_width=1216, convolutional_layer_encoding='xyz', dilation_rate=2, result='../results', use_rgb=True, use_d=True, use_g=True, val_h=352, val_w=1216)
=> using 'cuda' for computation.
=> loading checkpoint '/home/ubuntu-user/Desktop/hzy/results/input=rgbd.criterion=l2.lr=0.001.bs=6.round=1.time=2024-06-19@21-23/checkpoint-9.pth.tar' ... Completed. Resuming from epoch 9.
=> logger created.
	==> val_loader size:1000
Global epoch: 10
this round choose user: [30, 33, 7, 20, 12, 34, 25, 1, 5, 16]
This is 30 user-------------
=> creating model and optimizer ... Start Enet now!
completed.
Global weights loaded successfully!
=> creating data loaders ... 
success open part_ 30
	==> train_loader size:143
=> starting main loop ...
=> starting training user 30 epoch 1 ..
loss: tensor(13.6999, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   0 / 143
loss: tensor(6.3406, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   1 / 143
loss: tensor(10.2522, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   2 / 143
loss: tensor(6.0172, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   3 / 143
loss: tensor(23.1757, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   4 / 143
loss: tensor(9.3544, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   5 / 143
loss: tensor(3.7168, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   6 / 143
loss: tensor(8.6102, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   7 / 143
loss: tensor(7.7331, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   8 / 143
loss: tensor(13.5312, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   9 / 143
loss: tensor(7.3701, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   10 / 143
loss: tensor(12.6194, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   11 / 143
loss: tensor(11.1333, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   12 / 143
loss: tensor(8.8333, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   13 / 143
loss: tensor(15.9284, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   14 / 143
loss: tensor(5.3046, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   15 / 143
loss: tensor(5.9882, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   16 / 143
loss: tensor(5.1732, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   17 / 143
loss: tensor(6.1178, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   18 / 143
loss: tensor(4.2412, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   19 / 143
loss: tensor(5.8799, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   20 / 143
loss: tensor(8.1850, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   21 / 143
loss: tensor(6.2222, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   22 / 143
loss: tensor(5.1973, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   23 / 143
loss: tensor(5.5527, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   24 / 143
loss: tensor(11.9324, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   25 / 143
loss: tensor(4.0123, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   26 / 143
loss: tensor(7.5146, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   27 / 143
loss: tensor(10.1552, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 10   28 / 143
