Namespace(batch_size=6, convolutional_layer_encoding='xyz', cpu=False, criterion='l2', data_folder='/home/ubuntu-user/Desktop/KITTI/kitti_depth/depth', data_folder_rgb='/home/ubuntu-user/Desktop/KITTI/kitti_raw', data_folder_save='/home/ubuntu-user/Desktop/KITTI/kitti_depth/submit_test/', dilation_rate=2, epochs=100, evaluate='', freeze_backbone=False, input='rgbd', jitter=0.1, lr=0.001, network_model='e', not_random_crop=False, print_freq=10, random_crop_height=320, random_crop_width=1216, rank_metric='rmse', result='../results', resume='', round=1, start_epoch=0, start_epoch_bias=0, test=False, use_d=True, use_g=True, use_rgb=True, val='select', val_h=352, val_w=1216, weight_decay=1e-06, workers=4)
=> using 'cuda' for computation.
this round choose user: [61, 78, 58, 96, 14, 95, 13, 26, 59, 86]
This is 61 user-------------
=> creating model and optimizer ... => creating source code backup ...
=> finished creating source code backup.
=> logger created.
	==> val_loader size:1000
completed.
=> creating data loaders ... 
success open part_ 61
	==> train_loader size:143
=> starting main loop ...
=> starting training epoch 1 ..
loss: tensor(411.5197, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   0 / 143
loss: tensor(365.7747, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   1 / 143
loss: tensor(339.0846, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   2 / 143
loss: tensor(226.8428, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   3 / 143
loss: tensor(390.4461, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   4 / 143
loss: tensor(387.2279, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   5 / 143
loss: tensor(415.0736, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   6 / 143
loss: tensor(379.5983, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   7 / 143
loss: tensor(402.5743, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   8 / 143
loss: tensor(376.1905, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   9 / 143
loss: tensor(467.2082, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   10 / 143
loss: tensor(299.7560, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   11 / 143
loss: tensor(331.3322, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   12 / 143
loss: tensor(432.6398, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   13 / 143
loss: tensor(320.0358, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   14 / 143
loss: tensor(445.9890, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   15 / 143
loss: tensor(488.7221, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   16 / 143
loss: tensor(352.3660, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   17 / 143
loss: tensor(422.7387, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   18 / 143
loss: tensor(331.4163, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   19 / 143
loss: tensor(277.7022, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   20 / 143
loss: tensor(394.0539, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   21 / 143
loss: tensor(356.9227, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   22 / 143
loss: tensor(417.5569, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   23 / 143
loss: tensor(340.4095, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   24 / 143
loss: tensor(530.8294, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   25 / 143
loss: tensor(273.1547, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   26 / 143
loss: tensor(395.6861, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   27 / 143
loss: tensor(459.3599, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   28 / 143
loss: tensor(415.9109, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   29 / 143
loss: tensor(324.1965, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   30 / 143
loss: tensor(336.2878, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   31 / 143
loss: tensor(380.4873, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   32 / 143
loss: tensor(347.3203, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   33 / 143
loss: tensor(461.9731, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   34 / 143
loss: tensor(332.1909, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   35 / 143
loss: tensor(508.5598, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   36 / 143
loss: tensor(312.9831, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   37 / 143
loss: tensor(336.9715, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   38 / 143
loss: tensor(334.8669, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   39 / 143
loss: tensor(382.2502, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   40 / 143
loss: tensor(289.8127, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   41 / 143
loss: tensor(322.2780, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   42 / 143
loss: tensor(414.6389, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   43 / 143
loss: tensor(386.9185, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   44 / 143
loss: tensor(357.3455, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   45 / 143
loss: tensor(450.4835, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   46 / 143
loss: tensor(379.4575, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   47 / 143
loss: tensor(392.7100, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   48 / 143
loss: tensor(365.6953, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   49 / 143
loss: tensor(370.0157, device='cuda:0', grad_fn=<AddBackward0>)  epoch: 1   50 / 143
